Id,Attributes,Name,Vintage,Appellation,Region,WineType,Vineyard,RatingScore,PriceRetail,UnqWordInd,Attribute_94+ Rated Wine,Attribute_Big &amp; Bold,Attribute_Boutique Wines,Attribute_Business Gifts,Attribute_Collectible Wines,Attribute_Earthy &amp; Spicy,Attribute_Great Bottles to Give,Attribute_Green Wines,Attribute_Kosher Wines,Attribute_Older Vintages,Attribute_Private Cellar List,Attribute_Rich &amp; Creamy,Attribute_Screw Cap Wines,Attribute_Smooth &amp; Supple,Region_California,Region_Israel,Region_Italy,Region_South Africa,Region_South America,Region_Spain,Region_Washington
147150,Collectible Wines,Penfolds Kalimna Block 42 Cabernet Sauvignon 2004,2004,Barossa Valley,Australia,Cabernet Sauvignon,Penfolds Wines,100,739.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82919,Collectible Wines,Quilceda Creek Cabernet Sauvignon 2002,2002,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,269.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87182,Collectible Wines,Quilceda Creek Cabernet Sauvignon 2003,2003,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,289.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137427,Big &amp; Bold,Schrader CCS Beckstoffer To Kalon Cabernet Sauvignon 2012,2012,Napa Valley,California,Cabernet Sauvignon,Schrader Cellars,100,665.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114359,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2007,2007,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,599.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107087,Collectible Wines,Quilceda Creek Cabernet Sauvignon 2007,2007,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,256.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94645,Collectible Wines,Quilceda Creek Cabernet Sauvignon 2005,2005,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,256.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143511,Collectible Wines,Stag's Leap Wine Cellars Cask 23 Cabernet Sauvignon (1.5 Liter Magnum) 2012,2012,Napa Valley,California,Cabernet Sauvignon,Stag's Leap Wine Cellars,100,499.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84819,Big &amp; Bold,Shafer Hillside Select Cabernet Sauvignon 2001,2001,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,100,419.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118118,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2002,2002,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,639.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118121,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2005,2005,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,589.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118119,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2003,2003,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,100,639.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90456,Collectible Wines,Shafer Hillside Select Cabernet Sauvignon 2002,2002,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,100,489.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121675,Big &amp; Bold,Shafer Hillside Select Cabernet Sauvignon 2003,2003,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,100,339.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102655,Collectible Wines,Cardinale Cabernet Sauvignon 2006,2006,Napa Valley,California,Cabernet Sauvignon,Cardinale,100,259.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139059,Collectible Wines,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin 2012,2012,Napa Valley,California,Cabernet Sauvignon,Kapcsandy Family Winery,100,469.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127256,Big &amp; Bold,Spottswoode Cabernet Sauvignon 2010,2010,Napa Valley,California,Cabernet Sauvignon,Spottswoode Estate Vineyard & Winery,100,209.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134054,Collectible Wines,Shafer Hillside Select Cabernet Sauvignon 2010,2010,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,100,339.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118127,Collectible Wines,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin 2008,2008,Napa Valley,California,Cabernet Sauvignon,Kapcsandy Family Winery,100,569.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104514,Big &amp; Bold,Scarecrow Cabernet Sauvignon 2007,2007,Napa Valley,California,Cabernet Sauvignon,Scarecrow,100,799.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98007,Collectible Wines,Shafer Hillside Select Cabernet Sauvignon 2004,2004,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,100,249.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119612,Collectible Wines,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin (1.5L) 2007,2007,Napa Valley,California,Cabernet Sauvignon,Kapcsandy Family Winery,100,999.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139550,Big &amp; Bold,Schrader CCS Beckstoffer To Kalon Cabernet Sauvignon 2006,2006,Napa Valley,California,Cabernet Sauvignon,Schrader Cellars,100,699.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139902,Collectible Wines,Shafer Hillside Select Cabernet Sauvignon (1.5L Magnum) 2002,2002,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,100,999.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139485,Boutique Wines,Schrader Beckstoffer To Kalon Cabernet Sauvignon 2004,2004,Napa Valley,California,Cabernet Sauvignon,Schrader Cellars,100,425.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
